,Name,Commit,Runtime,Hostname,Notes,GPU Type,Sweep,Tags,End Time,Created,State,Group,epochs,lr,max_len,model_name,batch_size,epoch,fold_accuracy,fold_f1,fold_precision,fold_recall,mean_accuracy,mean_f1,mean_precision,mean_recall,std_accuracy,std_f1,std_precision,std_recall,train_acc_epoch,train_acc_step,train_f1_epoch,train_f1_step,train_loss_epoch,train_loss_step,train_precision_epoch,train_precision_step,train_recall_epoch,train_recall_step,val_acc,val_f1,val_loss,val_precision,val_recall,fold_loss,fold_roc_auc,mean_loss,mean_roc_auc,std_loss,std_roc_auc,train_acc,train_f1,train_loss,trainer/global_step,val_acc_epoch,val_acc_step,val_f1_epoch,val_f1_step,val_loss_epoch,val_loss_step,model_size,model_architecture,model_type
0,light-sweep-79,1c18110b7b3ef223024ab18239cac08f3e03c60e,36693,otiefy,-,Tesla K80,5tgsh1kw,,2023-08-18T18:25:25.000Z,2023-08-18T08:13:52.000Z,finished,,5,5e-05,256,raruidol/ArgumentMining-EN-ARI-Debate,,5,0.761173069477081,0.760040760040283,0.76218169927597,0.761173069477081,0.753164434432983,0.751399564743042,0.753932678699493,0.753164434432983,0.0135898111198024,0.0136738392011732,0.0135737499610745,0.0135898111198024,0.731058657169342,0.870833337306976,0.728987097740173,0.870833337306976,0.538065671920776,0.378382951021194,0.732349336147308,0.870833337306976,0.731058657169342,0.870833337306976,0.761173069477081,0.760040760040283,0.501505732536315,0.76218169927597,0.761173069477081,,,,,,,,,,4,,,,,,,561000000,encoder,debate_based_models
1,wobbly-sweep-16,73076ced08b736bea3953de695094490d16f8b8d,23615,compute-container-otiefy-77756f7f5b-7vhck,-,NVIDIA A100 80GB PCIe,b30pqvl6,,2023-09-10T13:18:20.000Z,2023-09-10T06:44:45.000Z,finished,,5,5e-05,256,reciprocate/vicuna-13b_rm_oasst-hh,,5,0.795550227165222,0.785150229930877,0.798087477684021,0.795550227165222,0.764506864547729,0.751006746292114,0.767792975902557,0.764506864547729,0.033090406801193,0.0357939658802795,0.0300980651114942,0.033090406801193,0.814784288406372,0.700000047683715,0.80472046136856,0.660633504390716,0.415564060211181,0.436297386884689,0.820279896259307,0.678571462631225,0.814784288406372,0.700000047683715,0.795550227165222,0.785150229930877,0.441686034202575,0.798087477684021,0.795550227165222,,,,,,,,,,4,,,,,,,13000000000,encoder_decoder,general_purpose_models
2,warm-sweep-13,73076ced08b736bea3953de695094490d16f8b8d,22012,compute-container-otiefy-77756f7f5b-7vhck,-,NVIDIA A100 80GB PCIe,k3kc9ciw,,2023-09-09T16:08:40.000Z,2023-09-09T10:01:48.000Z,finished,,5,5e-05,256,lmsys/vicuna-13b-v1.5,,5,0.789840221405029,0.781060814857482,0.790090382099151,0.789840221405029,0.762460052967071,0.750479102134704,0.762343454360962,0.762460052967071,0.032824065677183,0.0336045352741858,0.0330070699565329,0.032824065677183,0.812285423278808,0.949999988079071,0.800977885723114,0.928229689598083,0.414722949266433,0.24950435757637,0.815458357334137,0.916666626930236,0.812285423278808,0.949999988079071,0.789840221405029,0.781060814857482,0.439392805099487,0.790090382099151,0.789840221405029,,,,,,,,,,4,,,,,,,13000000000,encoder_decoder,general_purpose_models
3,deft-sweep-9,73076ced08b736bea3953de695094490d16f8b8d,23226,compute-container-otiefy-77756f7f5b-7vhck,-,NVIDIA A100 80GB PCIe,b30pqvl6,,2023-09-08T18:02:34.000Z,2023-09-08T11:35:28.000Z,finished,,5,5e-05,256,reciprocate/vicuna-13b_rm_oasst-hh,,5,0.797423183917999,0.787752449512481,0.800151765346527,0.797423183917999,0.763905537128448,0.750442504882812,0.766900777816772,0.763905537128448,0.0361776596398489,0.039127211772447,0.0348455368101801,0.0361776596398489,0.817158937454223,0.700000047683715,0.806997656822204,0.660633504390716,0.415456235408782,0.477927207946777,0.821707308292388,0.678571462631225,0.817158937454223,0.700000047683715,0.797423183917999,0.787752449512481,0.441461980342865,0.800151765346527,0.797423183917999,,,,,,,,,,4,,,,,,,13000000000,encoder_decoder,general_purpose_models
4,amber-sweep-10,73076ced08b736bea3953de695094490d16f8b8d,22768,compute-container-otiefy-77756f7f5b-7vhck,-,NVIDIA A100 80GB PCIe,b30pqvl6,,2023-09-09T00:22:07.000Z,2023-09-08T18:02:39.000Z,finished,,5,5e-05,256,reciprocate/vicuna-13b_rm_oasst-hh,,5,0.792676746845245,0.782374083995819,0.793744027614593,0.792676746845245,0.76323664188385,0.750206065177917,0.765777015686035,0.76323664188385,0.0364981914270625,0.0379729423022564,0.0325533875856058,0.0364981914270625,0.814436852931976,0.700000047683715,0.804157435894012,0.660633504390716,0.414993196725845,0.459508180618286,0.818110048770904,0.678571462631225,0.814436852931976,0.700000047683715,0.792676746845245,0.782374083995819,0.442647278308868,0.793744027614593,0.792676746845245,,,,,,,,,,4,,,,,,,13000000000,encoder_decoder,general_purpose_models
5,lunar-sweep-12,73076ced08b736bea3953de695094490d16f8b8d,21736,compute-container-otiefy-77756f7f5b-7vhck,-,NVIDIA A100 80GB PCIe,b30pqvl6,,2023-09-09T12:31:42.000Z,2023-09-09T06:29:26.000Z,finished,,5,5e-05,256,reciprocate/vicuna-13b_rm_oasst-hh,,5,0.794920742511749,0.785021066665649,0.797318816184997,0.794920742511749,0.761776351928711,0.749863159656524,0.764886581897735,0.761776351928711,0.0373316548133709,0.0385412853833826,0.0339416779452726,0.0373316548133709,0.816884458065033,0.800000011920929,0.806519985198974,0.784689009189605,0.414887487888336,0.431283086538314,0.822314202785491,0.777777791023254,0.816884458065033,0.800000011920929,0.794920742511749,0.785021066665649,0.438274174928665,0.797318816184997,0.794920742511749,,,,,,,,,,4,,,,,,,13000000000,encoder_decoder,general_purpose_models
6,copper-sweep-143,1c18110b7b3ef223024ab18239cac08f3e03c60e,29744,otiefy,-,Tesla K80,5tgsh1kw,,2023-08-21T19:58:31.000Z,2023-08-21T11:42:47.000Z,finished,,4,5e-05,256,raruidol/ArgumentMining-EN-ARI-Debate,,4,0.760948419570922,0.759950399398803,0.762129426002502,0.760948419570922,0.751321256160736,0.749516987800598,0.752580857276916,0.751321256160736,0.0109841075154152,0.0111585067303227,0.01144928661025,0.0109841075154152,0.727513194084167,0.774999976158142,0.725384950637817,0.774193525314331,0.538452923297882,0.447838485240936,0.728204488754272,0.774999976158142,0.727513194084167,0.774999976158142,0.760948419570922,0.759950399398803,0.503040432929992,0.762129426002502,0.760948419570922,,,,,,,,,,4,,,,,,,561000000,encoder,debate_based_models
7,sunny-sweep-46,8f7df9cdce319b816ec586b7d86aabbb4b30a139,24740,otiefy,-,Tesla K80,5tgsh1kw,,2023-08-16T17:31:09.000Z,2023-08-16T10:38:49.000Z,finished,,3,5e-05,256,raruidol/ArgumentMining-EN-ARI-Debate,,3,0.759045541286468,0.757835865020752,0.760382950305938,0.759045541286468,0.750751435756683,0.749055624008178,0.751993882656097,0.750751435756683,0.0129003105488764,0.0131951087030576,0.0129875083002614,0.0129003105488764,0.730361580848693,0.84166669845581,0.728251576423645,0.838035583496093,0.538236498832702,0.3937329351902,0.731507003307342,0.850427389144897,0.730361580848693,0.84166669845581,0.759045541286468,0.757835865020752,0.504724979400634,0.760382950305938,0.759045541286468,,,,,,,,,,4,,,,,,,561000000,encoder,debate_based_models
8,quiet-sweep-8,73076ced08b736bea3953de695094490d16f8b8d,22440,compute-container-otiefy-77756f7f5b-7vhck,-,NVIDIA A100 80GB PCIe,b30pqvl6,,2023-09-08T11:35:27.000Z,2023-09-08T05:21:27.000Z,finished,,5,5e-05,256,reciprocate/vicuna-13b_rm_oasst-hh,,5,0.798622369766235,0.788117051124572,0.80116593837738,0.798622369766235,0.761358225345611,0.748410809040069,0.763561534881591,0.761358225345611,0.0385319076717777,0.04023810784616,0.0366798030100095,0.0385319076717777,0.814834475517273,0.700000047683715,0.804426312446594,0.660633504390716,0.416348308324813,0.442146748304367,0.819040238857269,0.678571462631225,0.814834475517273,0.700000047683715,0.798622369766235,0.788117051124572,0.441189140081405,0.80116593837738,0.798622369766235,,,,,,,,,,4,,,,,,,13000000000,encoder_decoder,general_purpose_models
9,fast-sweep-11,73076ced08b736bea3953de695094490d16f8b8d,22030,compute-container-otiefy-77756f7f5b-7vhck,-,NVIDIA A100 80GB PCIe,b30pqvl6,,2023-09-09T06:29:22.000Z,2023-09-09T00:22:12.000Z,finished,,5,5e-05,256,reciprocate/vicuna-13b_rm_oasst-hh,,5,0.794056951999664,0.783867478370666,0.796061158180236,0.794056951999664,0.760204863548278,0.747273576259613,0.762759220600128,0.760204863548278,0.0349529996402035,0.0371269018809291,0.0335477489284617,0.0349529996402035,0.81623899936676,0.899999976158142,0.806762516498565,0.861111104488372,0.414660215377807,0.440848737955093,0.821837782859802,0.857142865657806,0.81623899936676,0.899999976158142,0.794056951999664,0.783867478370666,0.438415765762329,0.796061158180236,0.794056951999664,,,,,,,,,,4,,,,,,,13000000000,encoder_decoder,general_purpose_models
