text,label
"So in terms of the deceleration, we continue to expect deceleration into 2020, but it would be, we believe, more moderated and the reasons for that, that we expect the deceleration. [SEP] We do continue to see these ad targeting related headwinds, which have been playing out slowly, but we think are still in front of us.",1
"So in terms of the deceleration, we continue to expect deceleration into 2020, but it would be, we believe, more moderated and the reasons for that, that we expect the deceleration. [SEP] The majority of potential signal loss on targeting is still in front of us.",1
"So in terms of the deceleration, we continue to expect deceleration into 2020, but it would be, we believe, more moderated and the reasons for that, that we expect the deceleration. [SEP] And that's the three factors that I cited, the regulatory landscape, potential platform changes and then the adoption of our own products like OFA that we're just rolling out now.",1
"So I think we are experiencing deceleration from that perspective. [SEP] Obviously, we're lapping what's been good performance in 2019 where we've made a lot of product improvements and growing off a large base.",1
"So I think we are experiencing deceleration from that perspective. [SEP] The specific sort of high level of deceleration going into Q4, we're signing the specific optimizations that we're lapping in Q4, which were more significant.",1
"So it's a great benefit for sellers, and it only works if it's a great benefit for customers on the other side. [SEP] So, yeah, I don't have a lot to share on that today, but I think you hit on the main point, is selection and opportunities for sellers in – who are with us in different countries to reach buyers outside of their home country.",1
"But I think the potential is real and big and growing. [SEP] It's worth noting this isn't a feed product, so there are some more unknowns here.",1
"But I think the potential is real and big and growing. [SEP] We see a lot of organic connections between businesses and consumers, and our experience is that where are those – where we have those organic connections, that's very promising to turn that into monetization as well.",1
But I think the potential is real and big and growing. [SEP] We have over 18 million businesses now communicating with their customers through Messenger. [SEP] But I think the potential is real and big and growing. [SEP] We have over 18 million businesses now communicating with their customers through Messenger.,0
"But I think the potential is real and big and growing. [SEP] We have 2 billion messages sent between people and businesses a month, which includes automated messages. [SEP] But I think the potential is real and big and growing. [SEP] We have 2 billion messages sent between people and businesses a month, which includes automated messages.",0
"And we're focused on launching new tools that help businesses use Messenger. [SEP] For this quarter, we launched new quick replies for customers.",1
"It's really early, but nice pick up and nice buzz there. [SEP] And click to Messenger ads on Facebook are actually very promising as well because advertisers want to see a return for the money they spend.",1
"It's really early, but nice pick up and nice buzz there. [SEP] And when they have an ad and they can get a direct contact one to one with a customer, that's been something that people are really excited about.",1
"So we made a number of changes and are still making changes to prioritize meaningful interactions between people over passive consumption of content. [SEP] And it also follows the well-being research that we've done that suggests that when people use the Internet for interacting with people and building relationships, that is correlated with all of the positive measures of well-being that you just expect like longer term health and happiness, feeling more connected and less lonely, whereas just passively consuming content is not necessarily positive on those dimensions. [SEP] So we made a number of changes and are still making changes to prioritize meaningful interactions between people over passive consumption of content. [SEP] And it also follows the well-being research that we've done that suggests that when people use the Internet for interacting with people and building relationships, that is correlated with all of the positive measures of well-being that you just expect like longer term health and happiness, feeling more connected and less lonely, whereas just passively consuming content is not necessarily positive on those dimensions.",0
"Yeah, we're very happy with the results we're seeing, and the backlog that we see, and the new contracts and new customers and the expansion of existing customer business that we see. [SEP] We've added 800 new services and features so far this year; that's an accelerated pace from last year, which was a record year.",1
"Yeah, we're very happy with the results we're seeing, and the backlog that we see, and the new contracts and new customers and the expansion of existing customer business that we see. [SEP] We see customers have migrated more than 80,000 databases using the AWS Database Migration Service.",1
"Yeah, we're very happy with the results we're seeing, and the backlog that we see, and the new contracts and new customers and the expansion of existing customer business that we see. [SEP] And customers are just branching out to a lot of new products from us.",1
"So we think that, when you look at it, why do people come to us? [SEP] We've built a very strong partner and customer ecosystem.",1
"So we think that, when you look at it, why do people come to us? [SEP] And frankly we've the most proven reliability of security and performance, and we've been at this longer than anyone else.",1
"The operating margin itself will fluctuate quarter-to-quarter, a very strong performance this quarter. [SEP] Obviously, part of that was in the capital leases being flat year-over-year, and the team's ability to really run the data centers at a higher efficiency. [SEP] The operating margin itself will fluctuate quarter-to-quarter, a very strong performance this quarter. [SEP] Obviously, part of that was in the capital leases being flat year-over-year, and the team's ability to really run the data centers at a higher efficiency.",0
"And so we can do more than one thing, and so we have other things that we're working on as well. [SEP] In terms of the other things that we're doing, we have some great capability and great teams in Apple. [SEP] And so we can do more than one thing, and so we have other things that we're working on as well. [SEP] In terms of the other things that we're doing, we have some great capability and great teams in Apple.",0
"I am still bullish on iPad. [SEP] We've gotten with iOS 9, there's some incredible productivity enhancements coming in with split view and slide over and picture-in-picture.",1
I am still bullish on iPad. [SEP] These things are incredible features.,1
"I think and I believe that the iPad consumer upgrade cycle will eventually occur [SEP] because as we look at the usage statistics on iPad, it remains unbelievably great.",1
"I think and I believe that the iPad consumer upgrade cycle will eventually occur [SEP] I mean, the next closest usage of the next competitor, we're six times greater. [SEP] I think and I believe that the iPad consumer upgrade cycle will eventually occur [SEP] I mean, the next closest usage of the next competitor, we're six times greater.",0
I think and I believe that the iPad consumer upgrade cycle will eventually occur [SEP] And so these are extraordinary numbers,1
I think and I believe that the iPad consumer upgrade cycle will eventually occur [SEP] It's not like people have forgotten iPad or anything.,1
I think and I believe that the iPad consumer upgrade cycle will eventually occur [SEP] It's a fantastic product.,1
"And so I look around, I see opportunity left and right. [SEP] And as I look geographically, where we've been doing really good in the emerging markets, our share is still not high in any of them, and so there's a lot of headroom there as well, as there is in most developed markets as well",1
"I mean, on the first question Ross as far as our premium services, just even on the application infrastructure side, for example, in compute, there is increasing need for things like IoT services. [SEP] Essentially, there is a new business application like set of services that are getting developed to help people manage their complex IoT application development.",1
"In terms of the supply side, obviously News Feed is incredibly valuable [SEP] because it's very present for the consumer.",1
"From a product perspective, as we get things like Dynamic Product Ads rolled out, those are incredibly valuable. [SEP] As we connect more advertisers with those and bring more data into the system and we can get more of the impressions that are very highly targeted and very relevant, then we'll be rewarded with better pricing as we can expand that out into things like Lookalikes.",1
"From a product perspective, as we get things like Dynamic Product Ads rolled out, those are incredibly valuable. [SEP] That basically takes some of that really good targeting and extends that into a much bigger audience, and then we can get more impressions at better value because we're really connecting that with end results that the advertisers value.",1
So that's usually the way we make the atomic parts available as well as these essentially SaaS services or PaaS services. [SEP] We now have a much higher-level managed service.,1
"So that's usually the way we make the atomic parts available as well as these essentially SaaS services or PaaS services. [SEP] We even launched a new packaging of it with the IoT Central, which allows developers who are building IoT solutions, instead of assembling it themselves to be able to use this managed service to be that much more agile and productive.",1
"So that's usually the way we make the atomic parts available as well as these essentially SaaS services or PaaS services. [SEP] We even see, obviously, the end-user parts of the infrastructure when it comes to enterprise mobility.",1
"So all-up, we have multiple pieces. [SEP] The other areas, course, the entire toolchain of what's happening with Visual Studio to continuous integration, to continuous deployment, and that's a place where we have a very, very differentiated solution for developers and developer productivity, which in some sense you can think of as like the Office 365 for developers. [SEP] So all-up, we have multiple pieces. [SEP] The other areas, course, the entire toolchain of what's happening with Visual Studio to continuous integration, to continuous deployment, and that's a place where we have a very, very differentiated solution for developers and developer productivity, which in some sense you can think of as like the Office 365 for developers.",0
"But as I said earlier in response to the question, we also welcome the use of, I'll say, the most atomic building blocks of Azure, whether it just be a Linux container, Azure functions, which is very cost-efficient for developers, [SEP] because we know that over time, it may be not just PaaS services in Azure, it could be in fact a Dynamics 365 module.",1
"The canonical example for me is someone who collects data, does a prediction, ultimately then has to do something about that prediction, which means some automation like field service. [SEP] So a lot of what is Dynamics field service is actually in our module growth we are seeing because of Azure IoT, and that relationship is not just about Azure PaaS.",1
"When we look at it geographically, I think we see different developments. [SEP] For example, we felt very, very good about the unit growth that we had in many markets around the world. [SEP] When we look at it geographically, I think we see different developments. [SEP] For example, we felt very, very good about the unit growth that we had in many markets around the world.",0
"When we look at it geographically, I think we see different developments. [SEP] But when we look at a country-specific level, there were a lot of countries, I would say the majority of the countries, where iPhone units grew strong double digits, starting here in the United States, where for example, the fact that annual upgrade programs are becoming more and more popular is proving to be a positive for us. [SEP] When we look at it geographically, I think we see different developments. [SEP] But when we look at a country-specific level, there were a lot of countries, I would say the majority of the countries, where iPhone units grew strong double digits, starting here in the United States, where for example, the fact that annual upgrade programs are becoming more and more popular is proving to be a positive for us.",0
"When we look at it geographically, I think we see different developments. [SEP] Same happened in a number of countries around the world, starting with Canada and Australia but also many places in Western Europe as well.",1
"When we look at it geographically, I think we see different developments. [SEP] Japan grew double digits in terms of units.",1
The 6 cycle was certainly a phenomenal cycle. [SEP] There was pent-up demand for the larger screen phones.,1
"And certainly as we look ahead, we have a role to play. [SEP] The more we're able to innovate with new generations of products, clearly that plays a role in the upgrade rate.",1
And so you should take from our filing that we viewed it as we didn't see another way forward. [SEP] They were insisting on charging royalties for technologies that they had nothing to do with.,1
"And so you should take from our filing that we viewed it as we didn't see another way forward. [SEP] And so we were in a situation where the more we innovated with unique features like Touch ID or advanced displays or cameras, just to name a few, the more money Qualcomm would collect for no reason and the more expensive it would be therefore for us to innovate.",1
"Katy, if you look at the products that we have created and are manufacturing, they're really manufactured everywhere. [SEP] We have significant content from the U.S. market. [SEP] Katy, if you look at the products that we have created and are manufacturing, they're really manufactured everywhere. [SEP] We have significant content from the U.S. market.",0
"Katy, if you look at the products that we have created and are manufacturing, they're really manufactured everywhere. [SEP] We have content from Japan to Korea to many countries, and we have great content from China as well, and so there are many hands in the products. [SEP] Katy, if you look at the products that we have created and are manufacturing, they're really manufactured everywhere. [SEP] We have content from Japan to Korea to many countries, and we have great content from China as well, and so there are many hands in the products.",0
We are going to be getting some benefits from commodities in general and memory in particular. [SEP] Memory on a sequential basis is about 30 basis points favorable for us going into the December quarter.,1
We're very excited about what we see and we will continue to invest heavily in India. [SEP] You also have to keep in mind that we're making large investments in India. [SEP] We're very excited about what we see and we will continue to invest heavily in India. [SEP] You also have to keep in mind that we're making large investments in India.,0
We do design our products to last as long as possible. [SEP] Some people hold onto those for the life of the product and some people trade them in.,1
"We've worked hard on products ads that get to products. [SEP] So you've seen us work on dynamic ads, carousel ads, estimated store visits.",1
"We've worked hard on products ads that get to products. [SEP] You are seeing us take other steps like a buy button, like the Marketplace launch, which are really aimed at improving some of the experiences we think people are trying to have and already having in organic ways on Facebook.",1
And so we're looking at getting the right message the right time. [SEP] The core of our business is really connecting people with what they care about.,1
"We’re not releasing a user number, [SEP] because we think that the proper way to look at it is to look at active devices. [SEP] We’re not releasing a user number, [SEP] because we think that the proper way to look at it is to look at active devices.",0
"We’re not releasing a user number, [SEP] It's also the one that is the most accurate for us to measure.",1
"And so I think we have a considerable opportunity to grow, and we also expect those underlying numbers time on mobile to continue to grow. [SEP] In terms of penetration, we work with almost all the large marketers almost everywhere in the world. [SEP] And so I think we have a considerable opportunity to grow, and we also expect those underlying numbers time on mobile to continue to grow. [SEP] In terms of penetration, we work with almost all the large marketers almost everywhere in the world.",0
"And so I think we have a considerable opportunity to grow, and we also expect those underlying numbers time on mobile to continue to grow. [SEP] But even for the largest, the largest clients we have, we are a very small part of their budget. [SEP] And so I think we have a considerable opportunity to grow, and we also expect those underlying numbers time on mobile to continue to grow. [SEP] But even for the largest, the largest clients we have, we are a very small part of their budget.",0
