,Unnamed: 0,ann_id,ann_file_id,ann_file,argQ_id,claim_id,claim_text,claim_label,claim_first_carach_pos,claim_last_carach_pos,relation_ids,relation_types,premise_ids,premise_labels,premise_first_carach_pos,premise_last_carach_pos,premise_texts,SPECIFIC,PERSUASIVE,STRONG,OBJECTIVE,TEMPORALHISTORY,global_arg_id,valid,nbr_ATTACK,nbr_SUPPORT,nbr_PREMISE_Fact,nbr_PREMISE_Hypothesis,nbr_PREMISE_Other,nbr_PREMISE_RealExample,nbr_PREMISE_Statistic,nbr_tokens_per_premises_list,nbr_sentences_per_premises_list,nbr_sentences_per_claim,nbr_tokens_per_claim,year,quarter,nbr_premises,company_name,nbr_sentences_per_argument,nbr_tokens_per_argument,sum_nbr_tokens_per_premises_list,sum_nbr_sentences_per_premises_list,nbr_CLAIM-Opinion(view),nbr_CLAIM-Fact,nbr_CLAIM-Value,nbr_CLAIM-Other,nbr_CLAIM-Policy
0,0,7,FB_Q3_2019_17751_7,FB_Q3_2019_17751,ArgQ0,MZ6NBJMtU-,"So in terms of the deceleration, we continue to expect deceleration into 2020, but it would be, we believe, more moderated and the reasons for that, that we expect the deceleration.",CLAIM-Opinion(view),1150,1331,"['R0', 'R1', 'R2']","['SUPPORT', 'SUPPORT', 'SUPPORT']","['ziQ9XxGywZ', 'PUa6bDukoM', 'ZCWbt1-LGl']","['PREMISE-Fact', 'PREMISE-Fact', 'PREMISE-Fact']","['1332', '1467', '1543']","['1466', '1542', '1722']","['We do continue to see these ad targeting related headwinds, which have been playing out slowly, but we think are still in front of us.', 'The majority of potential signal loss on targeting is still in front of us.', ""And that's the three factors that I cited, the regulatory landscape, potential platform changes and then the adoption of our own products like OFA that we're just rolling out now.""]",2,2,2,1,-1,FB_Q3_2019_17751_ArgQ0,1.0,0,3,3,0,0,0,0,"[28, 15, 35]","[1, 1, 1]",1,37,2019,Q3,3,FB,4,115,78,3,1,0,0,0,0
1,1,7,FB_Q3_2019_17751_7,FB_Q3_2019_17751,ArgQ1,ktvL-mJTmm,So I think we are experiencing deceleration from that perspective.,CLAIM-Opinion(view),1947,2013,"['R3', 'R4']","['SUPPORT', 'SUPPORT']","['-N7OmmWYlE', 'C65YefdkDg']","['PREMISE-Fact', 'PREMISE-Fact']","['1808', '2014']","['1946', '2172']","[""Obviously, we're lapping what's been good performance in 2019 where we've made a lot of product improvements and growing off a large base."", ""The specific sort of high level of deceleration going into Q4, we're signing the specific optimizations that we're lapping in Q4, which were more significant.""]",1,1,1,1,-1,FB_Q3_2019_17751_ArgQ1,1.0,0,2,2,0,0,0,0,"[28, 30]","[1, 1]",1,11,2019,Q3,2,FB,3,69,58,2,1,0,0,0,0
2,2,7,AMZN_Q1_2018_18385_7,AMZN_Q1_2018_18385,ArgQ0,QoypQi7Ux5,"So it's a great benefit for sellers, and it only works if it's a great benefit for customers on the other side.",CLAIM-Fact,1704,1815,['R0'],['SUPPORT'],['EvzasSaY10'],['PREMISE-Fact'],['1478'],['1703'],"[""So, yeah, I don't have a lot to share on that today, but I think you hit on the main point, is selection and opportunities for sellers in – who are with us in different countries to reach buyers outside of their home country.""]",1,1,1,1,-1,AMZN_Q1_2018_18385_ArgQ0,1.0,0,1,1,0,0,0,0,[50],[1],1,26,2018,Q1,1,AMZN,2,76,50,1,0,1,0,0,0
3,3,7,FB_Q1_2018_17667_7,FB_Q1_2018_17667,ArgQ0,usmixUOKd4,But I think the potential is real and big and growing.,CLAIM-Opinion(view),2800,2854,"['R0', 'R1', 'R2', 'R3']","['ATTACK', 'SUPPORT', 'SUPPORT', 'SUPPORT']","['SrMKkF61pn', 'DlvVMtVHUY', 'nexb0IOPi4', 'J_JCPdM-Gb']","['PREMISE-Fact', 'PREMISE-Fact', 'PREMISE-Statistic', 'PREMISE-Statistic']","['2717', '2855', '3073', '3166']","['2799', '3072', '3165', '3271']","[""It's worth noting this isn't a feed product, so there are some more unknowns here."", ""We see a lot of organic connections between businesses and consumers, and our experience is that where are those – where we have those organic connections, that's very promising to turn that into monetization as well."", 'We have over 18 million businesses now communicating with their customers through Messenger.', 'We have 2 billion messages sent between people and businesses a month, which includes automated messages.']",2,2,2,0,-1,FB_Q1_2018_17667_ArgQ0,1.0,1,3,2,0,0,0,2,"[19, 40, 14, 18]","[1, 1, 1, 1]",1,12,2018,Q1,4,FB,5,103,91,4,1,0,0,0,0
4,4,7,FB_Q1_2018_17667_7,FB_Q1_2018_17667,ArgQ1,7fdN1uTh9E,And we're focused on launching new tools that help businesses use Messenger.,CLAIM-Fact,3272,3348,"['R4', 'R5']","['SUPPORT', 'SUPPORT']","['Cd5P3B_yj0', '4ZIkj3rYEX']","['PREMISE-Fact', 'PREMISE-Fact']","['3349', '3412']","['3411', '3482']","['For this quarter, we launched new quick replies for customers.', ""We're seeing ads in inbox, which are now available to all advertisers.""]",2,1,1,1,3,FB_Q1_2018_17667_ArgQ1,1.0,0,2,2,0,0,0,0,"[12, 15]","[1, 1]",1,14,2018,Q1,2,FB,3,41,27,2,0,1,0,0,0
5,5,7,FB_Q1_2018_17667_7,FB_Q1_2018_17667,ArgQ2,-j2t2ZpmoT,"It's really early, but nice pick up and nice buzz there.",CLAIM-Fact,3483,3539,"['R6', 'R7']","['SUPPORT', 'SUPPORT']","['dBgOmuIcO8', 'wkJFJ3mPSa']","['PREMISE-Fact', 'PREMISE-Fact']","['3540', '3682']","['3681', '3828']","['And click to Messenger ads on Facebook are actually very promising as well because advertisers want to see a return for the money they spend.', ""And when they have an ad and they can get a direct contact one to one with a customer, that's been something that people are really excited about.""]",2,1,1,1,-1,FB_Q1_2018_17667_ArgQ2,1.0,0,2,2,0,0,0,0,"[26, 31]","[1, 1]",1,14,2018,Q1,2,FB,3,71,57,2,0,1,0,0,0
6,6,7,FB_Q1_2018_17667_7,FB_Q1_2018_17667,ArgQ3,kpOcr1Z47L,So we made a number of changes and are still making changes to prioritize meaningful interactions between people over passive consumption of content.,CLAIM-Fact,968,1117,"['R8', 'R9']","['SUPPORT', 'SUPPORT']","['HNHi7rkc7e', 'olDbWr59yy']","['PREMISE-Fact', 'PREMISE-Fact']","['1118', '1284']","['1283', '1704']","['And that follows a lot of feedback directly from our community that people want Facebook to be more about friends and family and less about just content consumption.', ""And it also follows the well-being research that we've done that suggests that when people use the Internet for interacting with people and building relationships, that is correlated with all of the positive measures of well-being that you just expect like longer term health and happiness, feeling more connected and less lonely, whereas just passively consuming content is not necessarily positive on those dimensions.""]",2,1,1,1,-1,FB_Q1_2018_17667_ArgQ3,1.0,0,2,2,0,0,0,0,"[29, 69]","[1, 1]",1,24,2018,Q1,2,FB,3,122,98,2,0,1,0,0,0
7,7,7,FB_Q1_2018_17667_7,FB_Q1_2018_17667,ArgQ4,pQeUOYtzHO,"Overall, I'd say that these changes are doing what we expected that they would do and helping people to connect more and have more meaningful interactions.",CLAIM-Fact,2069,2224,"['R10', 'R11']","['SUPPORT', 'SUPPORT']","['9jIAs-986W', 'QbPzl6ZpMI']","['PREMISE-Fact', 'PREMISE-Fact']","['1800', '1951']","['1950', '2068']","[""As I said in my opening remarks, that has increased or we've observed increases in some types of sharing and interaction between people based on that."", ""We've also observed some continued declines as we've done this and in the passive consumption of video, specifically.""]",2,1,1,1,-1,FB_Q1_2018_17667_ArgQ4,1.0,0,2,2,0,0,0,0,"[29, 22]","[1, 1]",1,29,2018,Q1,2,FB,3,80,51,2,0,1,0,0,0
8,8,7,AMZN_Q2_2018_18392_7,AMZN_Q2_2018_18392,ArgQ0,XLMMdCoa_z,"Yeah, we're very happy with the results we're seeing, and the backlog that we see, and the new contracts and new customers and the expansion of existing customer business that we see.",CLAIM-Opinion(view),495,678,"['R0', 'R1', 'R2', 'R3']","['SUPPORT', 'SUPPORT', 'SUPPORT', 'SUPPORT']","['sfLX8lh541', 'VMVyZJptoM', 'm8YfWZMJBC', 'lngUeQ-2Wp']","['PREMISE-Fact', 'PREMISE-Statistic', 'PREMISE-Statistic', 'PREMISE-Fact']","['679', '791', '919', '1019']","['790', '918', '1018', '1089']","[""Again, the business has accelerated the last three quarters, and we're seeing great signs in a number of areas."", ""We've added 800 new services and features so far this year; that's an accelerated pace from last year, which was a record year."", 'We see customers have migrated more than 80,000 databases using the AWS Database Migration Service.', 'And customers are just branching out to a lot of new products from us.']",2,2,2,1,1,AMZN_Q2_2018_18392_ArgQ0,1.0,0,4,2,0,0,0,2,"[23, 28, 16, 15]","[1, 1, 1, 1]",1,38,2018,Q2,4,AMZN,5,120,82,4,1,0,0,0,0
9,9,7,AMZN_Q2_2018_18392_7,AMZN_Q2_2018_18392,ArgQ1,3ah76HjQj0,"So we think that, when you look at it, why do people come to us?",CLAIM-Opinion(view),1242,1306,"['R4', 'R5', 'R6']","['SUPPORT', 'SUPPORT', 'SUPPORT']","['sf2pwi3eB_', 'GuXZDqtwbG', 'Oq3XmM_4rM']","['PREMISE-Fact', 'PREMISE-Fact', 'PREMISE-Fact']","['1307', '1409', '1467']","['1408', '1466', '1589']","[""It's essentially set functionality and pace of innovation that we've demonstrated for multiple years."", ""We've built a very strong partner and customer ecosystem."", ""And frankly we've the most proven reliability of security and performance, and we've been at this longer than anyone else.""]",1,2,1,0,0,AMZN_Q2_2018_18392_ArgQ1,1.0,0,3,3,0,0,0,0,"[17, 11, 24]","[1, 1, 1]",1,18,2018,Q2,3,AMZN,4,70,52,3,1,0,0,0,0
